gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
NOD2,1039983,A_23_P420863,457,3702,0.12344678552133982,6,0,False
NOD2,1039984,CUST_15993_PI416261804,7,3702,0.0018908698001080498,6,0,False
NOL4,1049390,A_23_P416766,3615,3702,0.9764991896272285,6,6,True
NOL4,1049391,A_32_P126733,3678,3702,0.993517017828201,6,6,True
NRBP1,1044129,A_23_P165442,3518,3702,0.9502971366828741,6,6,True
NRBP1,1044130,CUST_684_PI416261804,2793,3702,0.7544570502431118,6,5,True
NSF,1053553,A_23_P15714,3700,3702,0.9994597514856834,6,6,True
NSF,1053554,A_24_P221634,3700,3702,0.9994597514856834,6,6,True
NUCKS1,1039781,A_24_P374652,3699,3702,0.9991896272285251,6,6,True
NUCKS1,1039782,A_24_P145122,3695,3702,0.998109130199892,6,6,True
NUCKS1,1039783,A_23_P149724,3700,3702,0.9994597514856834,6,6,True
NUCKS1,1039784,A_24_P925222,3432,3702,0.9270664505672609,6,6,True
NUCKS1,1039785,A_24_P919789,280,3702,0.075634792004322,6,0,False
NUCKS1,1039786,A_24_P216968,3700,3702,0.9994597514856834,6,6,True
NUCKS1,1039787,A_24_P216964,3702,3702,1.0,6,6,True
P2RX5,1029745,A_23_P433785,3170,3702,0.8562938951917882,6,6,True
P2RX5,1029961,CUST_6425_PI416261804,3202,3702,0.8649378714208535,6,6,True
P2RX5,1029962,A_23_P413760,2768,3702,0.7477039438141545,6,6,True
PAM,1053360,A_23_P213678,3700,3702,0.9994597514856834,6,6,True
PAM,1053361,A_32_P121944,775,3702,0.20934629929767692,6,0,False
PAM,1053362,A_24_P97703,3637,3702,0.9824419232847109,6,6,True
PAM,1053363,A_24_P933704,3680,3702,0.9940572663425176,6,6,True
PARP9,1012605,CUST_13710_PI416261804,540,3702,0.1458670988654781,6,0,False
PARP9,1014893,CUST_1245_PI416379584,1771,3702,0.4783900594273366,6,3,False
PARP9,1017969,A_23_P69383,2128,3702,0.5748244192328471,6,4,True
PARP9,1019052,CUST_1206_PI416573500,1416,3702,0.3824959481361426,6,2,False
PBXIP1,1040725,A_24_P79808,3650,3702,0.9859535386277688,6,6,True
PCGF3,1047531,A_24_P388632,3694,3702,0.9978390059427337,6,6,True
PCGF3,1047532,A_23_P396777,1995,3702,0.5388978930307942,6,4,True
PCGF3,1047533,A_24_P566968,2770,3702,0.7482441923284711,6,6,True
