gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
A_23_P254061,1,0,0.004051863857374392
A_23_P254330,1,0,0.008103727714748784
A_23_P255486,1,0,0.01053484602917342
A_23_P257396,1,0,0.0035116153430578066
A_23_P25755,1,0,0.02377093462992977
A_23_P258666,1,0,0.004321988114532685
A_23_P258734,1,0,0.002701242571582928
A_23_P26004,3,0,0.0902215018908698
A_23_P28201,1,0,0.20016207455429497
A_23_P28397,1,0,0.21339816315505133
A_23_P28514,1,0,0.015937331172339277
A_23_P28927,1,0,0.037007023230686116
A_23_P29411,1,0,0.25364667747163694
A_23_P300112,1,0,0.0037817396002160996
A_23_P300136,1,0,0.3187466234467855
A_23_P301484,1,0,0.05186385737439222
A_23_P30150,1,0,0.008373851971907077
A_23_P302078,1,0,0.004321988114532685
A_23_P302320,1,0,0.07779578606158834
A_23_P302386,1,0,0.07968665586169638
A_23_P302750,1,0,0.024581307401404646
A_23_P303145,1,0,0.1693679092382496
A_23_P303417,1,0,0.0010804970286331713
A_23_P304054,1,0,0.35467314964883845
A_23_P30411,1,0,0.30740140464613724
A_23_P305680,1,0,0.18881685575364668
A_23_P306240,2,0,0.20448406266882765
A_23_P30630,1,0,0.0823878984332793
A_23_P307042,1,0,0.005672609400324149
A_23_P30707,2,0,0.20961642355483523
A_23_P307161,1,0,0.005942733657482442
A_23_P309250,2,0,0.4916261480280929
A_23_P311246,1,0,0.00675310642895732
A_23_P313588,1,0,0.007293354943273906
A_23_P313993,1,0,0.2639113992436521
A_23_P315131,2,0,0.3603457590491626
A_23_P315651,1,0,0.004592112371690978
A_23_P316543,1,0,0.007833603457590491
A_23_P317413,1,0,0.32901134521880065
A_23_P317548,1,0,0.11912479740680713
A_23_P320190,1,0,0.14397622906537008
A_23_P320858,1,0,0.008103727714748784
A_23_P32583,1,0,0.023230686115613183
A_23_P327134,1,0,0.007563479200432199
A_23_P327183,1,0,0.01350621285791464
A_23_P327643,1,0,0.002971366828741221
A_23_P328174,2,0,0.0337655321447866
A_23_P32821,1,0,0.04538087520259319
A_23_P330708,1,0,0.004321988114532685
A_23_P33075,1,0,0.009184224743381956
A_23_P33207,1,0,0.15153970826580226
A_23_P33356,1,0,0.09697460831982713
A_23_P333998,1,0,0.2749864937871421
A_23_P336060,1,0,0.15505132360886006
A_23_P336239,1,0,0.075634792004322
A_23_P33642,1,0,0.006212857914640735
A_23_P33643,1,0,0.00675310642895732
A_23_P336838,1,0,0.013236088600756347
A_23_P337327,1,0,0.0032414910858995136
A_23_P339560,1,0,0.03079416531604538
A_23_P340010,1,0,0.0035116153430578066
A_23_P342165,2,0,0.4189627228525122
A_23_P342489,1,0,0.026202052944354404
A_23_P342585,1,0,0.29578606158833065
A_23_P343680,1,0,0.012965964343598054
A_23_P345068,1,0,0.004321988114532685
A_23_P346798,1,0,0.3346839546191248
A_23_P348304,1,0,0.004862236628849271
A_23_P348587,1,0,0.46029173419773095
A_23_P34897,1,0,0.0024311183144246355
A_23_P350155,1,0,0.0024311183144246355
A_23_P350658,1,0,0.019989195029713667
A_23_P351744,1,0,0.43814154511075093
A_23_P352648,1,0,0.008103727714748784
A_23_P353865,1,0,0.20475418692598596
A_23_P354326,1,0,0.02863317125877904
A_23_P354547,1,0,0.2901134521880065
A_23_P358244,1,0,0.4089681253376553
A_23_P359804,1,0,0.004862236628849271
A_23_P361074,1,0,0.00675310642895732
A_23_P361596,1,0,0.002701242571582928
A_23_P361614,1,0,0.27984873041599134
A_23_P361654,1,0,0.008373851971907077
A_23_P361679,1,0,0.3076715289032955
A_23_P36248,3,0,0.11399243652079957
A_23_P363414,2,0,0.021609940572663425
A_23_P36439,1,0,0.006482982171799027
A_23_P364487,2,0,0.025121555915721232
A_23_P365327,1,0,0.008373851971907077
A_23_P366890,1,0,0.04267963263101027
A_23_P369090,1,0,0.004592112371690978
A_23_P369150,1,0,0.4405726634251756
A_23_P370147,1,0,0.06212857914640735
A_23_P370408,1,0,0.2406807131280389
A_23_P370782,1,0,0.47811993517017826
A_23_P371463,1,0,0.031874662344678555
A_23_P373092,1,0,0.01053484602917342
A_23_P374664,1,0,0.004862236628849271
A_23_P374944,1,0,0.2441923284710967
A_23_P375121,1,0,0.059967585089141004
A_23_P375541,3,0,0.11210156672069152
A_23_P377191,2,0,0.11858454889249055
A_23_P377245,2,0,0.47784981091302
A_23_P377350,1,0,0.3787142085359265
A_23_P377411,1,0,0.4862236628849271
A_23_P377680,1,0,0.14370610480821178
A_23_P37785,1,0,0.2531064289573204
A_23_P377909,3,0,0.27039438141545113
A_23_P378458,1,0,0.005132360886007563
A_23_P378766,1,0,0.029983792544570502
A_23_P379634,2,0,0.2255537547271745
A_23_P383764,1,0,0.005132360886007563
A_23_P384127,1,0,0.025121555915721232
A_23_P387312,1,0,0.00945434900054025
A_23_P38978,1,0,0.06428957320367369
A_23_P390206,1,0,0.1580226904376013
A_23_P390209,1,0,0.01053484602917342
A_23_P390621,1,0,0.34035656401944897
A_23_P390876,1,0,0.45407887628309024
A_23_P391382,1,0,0.4543490005402485
A_23_P393495,1,0,0.19043760129659643
A_23_P394323,1,0,0.15235008103727715
A_23_P395054,1,0,0.020529443544030253
A_23_P395321,3,0,0.021609940572663425
A_23_P395705,1,0,0.09211237169097786
A_23_P396322,1,0,0.1582928146947596
A_23_P396832,1,0,0.005402485143165856
A_23_P399206,1,0,0.1501890869800108
A_23_P399604,1,0,0.33522420313344137
A_23_P400041,1,0,0.4159913560237709
A_23_P40225,1,0,0.018638573743922204
A_23_P402313,1,0,0.004592112371690978
A_23_P40290,1,0,0.23554835224203133
A_23_P403209,1,0,0.01755807671528903
A_23_P403836,1,0,0.4629929767693139
A_23_P405267,1,0,0.07428417071853052
A_23_P406644,1,0,0.011615343057806591
A_23_P407750,1,0,0.007293354943273906
A_23_P408363,1,0,0.05753646677471637
A_23_P408865,1,0,0.07374392220421394
A_23_P409648,1,0,0.002701242571582928
A_23_P409663,1,0,0.06428957320367369
A_23_P410456,1,0,0.03943814154511075
A_23_P410862,1,0,0.006212857914640735
A_23_P413043,1,0,0.004862236628849271
A_23_P413991,1,0,0.46434359805510533
A_23_P415806,1,0,0.06050783360345759
A_23_P415820,1,0,0.012965964343598054
A_23_P4179,1,0,0.016477579686655863
A_23_P419411,1,0,0.0032414910858995136
A_23_P42063,2,0,0.06915180983252296
A_23_P420732,2,0,0.06807131280388978
A_23_P421323,1,0,0.08860075634792004
A_23_P424793,1,0,0.008373851971907077
A_23_P42595,1,0,0.04538087520259319
A_23_P426528,1,0,0.12830902215018908
A_23_P426681,1,0,0.01755807671528903
A_23_P428465,1,0,0.0032414910858995136
A_23_P430852,1,0,0.3635872501350621
A_23_P431430,1,0,0.010264721772015126
A_23_P431900,1,0,0.0035116153430578066
A_23_P432758,1,0,0.08670988654781199
A_23_P433865,1,0,0.007833603457590491
A_23_P4341,1,0,0.4159913560237709
A_23_P434548,1,0,0.015937331172339277
A_23_P435390,1,0,0.013236088600756347
A_23_P43597,1,0,0.24932468935710428
A_23_P43630,1,0,0.31982712047541867
A_23_P43932,1,0,0.19502971366828742
A_23_P43977,1,0,0.02701242571582928
A_23_P44053,1,0,0.1982712047541869
A_23_P44534,1,0,0.007563479200432199
A_23_P44854,1,0,0.011075094543490005
A_23_P44857,6,0,0.3387358184764992
A_23_P45068,1,0,0.009994597514856833
A_23_P46499,1,0,0.2992976769313884
A_23_P47110,2,0,0.011075094543490005
A_23_P47396,1,0,0.04835224203133441
A_23_P48130,2,0,0.09157212317666126
